ID,Departamento,Categoria_Planta,Tipo_Planta,Temperatura_C,Humedad_Relativa_pct,Horas_Luz_Solar,pH_Suelo,Tipo_Suelo,Fertilidad_Suelo,Crecimiento_cm_semana,Cond_Temperatura,Cond_Humedad,Cond_Luz_Solar,Cond_pH,Cond_Suelo,Cond_Fertilidad,Condiciones_Optimas_Total,Estado_Crecimiento
2573,Córdoba,Cultivo Agrícola,Sorgo,21.4,79.1,12.3,5.21,Arenoso,Media,5.43,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
2574,Santander,Planta Tropical,Palma,34.9,79.0,12.1,4.83,Franco,Baja,39.96,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
2575,Sucre,Hortaliza,Zanahoria,29.6,80.2,9.8,6.97,Franco,Baja,23.78,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
2576,Santander,Cultivo Agrícola,Papa,22.4,94.0,10.1,6.73,Franco-Arcilloso,Baja,5.05,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
2577,Magdalena,Cultivo Agrícola,Sorgo,18.7,32.5,6.3,5.55,Franco-Arcilloso,Media,21.81,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
2578,Bolívar,Planta Tropical,Plátano,26.2,89.4,9.0,7.28,Arenoso,Media,40.14,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
2579,Boyacá,Cultivo Agrícola,Trigo,27.6,68.3,13.5,6.13,Arcilloso,Media,23.11,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
2580,Santander,Cultivo Agrícola,Frijol,28.2,53.9,11.7,6.58,Franco-Arcilloso,Alta,38.86,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2581,Córdoba,Hortaliza,Zanahoria,29.1,51.5,6.1,5.9,Franco-Arcilloso,Alta,56.3,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
2582,Sucre,Cultivo Agrícola,Trigo,19.4,40.0,10.8,5.69,Franco,Alta,42.83,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
2583,Córdoba,Planta Tropical,Caña de azúcar,33.3,63.7,7.2,7.07,Arenoso,Alta,21.05,Óptima,Óptima,Óptima,Óptima,No óptimo,Óptima,5,Excelente
2584,Valle del Cauca,Planta Tropical,Caña de azúcar,25.2,80.9,7.8,5.72,Limoso,Alta,48.06,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
2585,Meta,Cultivo Agrícola,Arroz,34.8,67.2,8.7,4.56,Franco,Alta,18.17,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
2586,Cauca,Cultivo Agrícola,Sorgo,21.4,82.9,9.2,7.56,Arcilloso,Media,10.83,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Malo
2587,Sucre,Hortaliza,Cebolla,17.0,66.5,6.5,7.41,Franco,Alta,28.47,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
2588,Antioquia,Hortaliza,Pimentón,23.4,89.3,13.7,6.54,Limoso,Baja,28.45,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,3,Regular
2589,Magdalena,Planta Tropical,Palma,27.2,63.0,11.8,6.75,Limoso,Media,42.53,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
2590,Nariño,Cultivo Agrícola,Trigo,24.0,30.3,8.7,6.53,Arcilloso,Baja,28.59,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
2591,Nariño,Planta Tropical,Café,23.6,85.7,7.1,6.49,Limoso,Alta,22.96,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2592,Bolívar,Hortaliza,Zanahoria,17.6,84.8,5.9,6.76,Arcilloso,Alta,26.87,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
2593,Bolívar,Planta Tropical,Cacao,24.2,82.8,9.2,6.87,Limoso,Alta,47.97,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
2594,Santander,Cultivo Agrícola,Papa,16.5,69.6,8.7,6.67,Franco-Arcilloso,Baja,34.44,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Bueno
2595,Santander,Hortaliza,Lechuga,10.7,49.7,6.8,5.97,Arenoso,Media,20.54,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Regular
2596,Valle del Cauca,Planta Tropical,Yuca,26.7,38.4,12.3,5.53,Franco,Baja,28.06,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,3,Regular
2597,Valle del Cauca,Cultivo Agrícola,Papa,23.5,94.8,10.6,5.15,Franco-Arcilloso,Media,7.44,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
2598,Bolívar,Hortaliza,Cebolla,15.6,79.6,6.3,6.91,Franco-Arcilloso,Alta,12.39,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2599,Antioquia,Planta Tropical,Palma,38.8,91.4,6.2,4.93,Franco-Arcilloso,Alta,8.79,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
2600,Huila,Cultivo Agrícola,Frijol,31.3,54.3,10.9,5.9,Franco-Arcilloso,Media,22.26,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
2601,Magdalena,Hortaliza,Lechuga,18.3,81.8,3.9,5.76,Arcilloso,Alta,32.47,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Regular
2602,Tolima,Hortaliza,Pimentón,16.4,62.2,13.8,6.43,Franco,Media,29.8,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2603,Bolívar,Planta Tropical,Café,25.8,88.3,4.2,5.98,Franco-Arcilloso,Baja,24.29,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
2604,Bolívar,Cultivo Agrícola,Trigo,25.4,37.7,12.1,8.0,Franco,Media,30.82,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Regular
2605,Cundinamarca,Hortaliza,Pimentón,24.0,76.9,12.1,6.78,Franco,Baja,10.23,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Baja,4,Bueno
2606,Tolima,Planta Tropical,Yuca,40.3,68.6,8.5,6.04,Limoso,Baja,15.51,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
2607,Huila,Planta Tropical,Plátano,25.9,61.3,8.6,6.84,Arcilloso,Baja,10.74,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Malo
2608,Cundinamarca,Hortaliza,Pepino,17.6,59.2,12.0,6.15,Arcilloso,Media,20.73,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Regular
2609,Bolívar,Cultivo Agrícola,Trigo,21.4,83.0,10.3,6.26,Arenoso,Media,18.87,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,4,Bueno
2610,Cundinamarca,Cultivo Agrícola,Papa,10.8,72.2,9.6,6.48,Arenoso,Media,78.09,Óptima,Óptima,Óptima,Óptima,No óptimo,Óptima,5,Excelente
2611,Antioquia,Planta Tropical,Caña de azúcar,33.2,64.4,13.8,5.9,Arcilloso,Media,55.4,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
2612,Nariño,Hortaliza,Pimentón,15.9,83.2,11.9,6.92,Franco,Baja,4.68,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
2613,Magdalena,Cultivo Agrícola,Frijol,30.1,58.3,6.0,7.59,Arenoso,Baja,7.19,Fuera de rango,Óptima,Óptima,Fuera de rango,No óptimo,Baja,2,Malo
2614,Sucre,Planta Tropical,Cacao,35.7,85.1,8.9,6.02,Arenoso,Alta,32.32,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Malo
2615,Santander,Planta Tropical,Cacao,25.7,69.4,4.8,6.52,Franco,Alta,29.82,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Bueno
2616,Sucre,Hortaliza,Pepino,19.0,49.0,10.6,6.36,Limoso,Media,56.4,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
2617,Nariño,Hortaliza,Pepino,20.6,78.0,7.9,6.08,Franco-Arcilloso,Alta,37.43,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
2618,Magdalena,Planta Tropical,Café,25.7,81.5,3.1,6.14,Franco,Baja,38.3,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
2619,Boyacá,Cultivo Agrícola,Maíz,19.8,82.8,9.6,5.0,Franco-Arcilloso,Media,24.39,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Bueno
2620,Antioquia,Planta Tropical,Plátano,34.3,64.3,8.4,6.59,Franco,Baja,31.41,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
2621,Cesar,Cultivo Agrícola,Sorgo,23.4,42.6,10.1,7.95,Franco-Arcilloso,Alta,26.04,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
2622,Santander,Planta Tropical,Plátano,19.2,74.9,12.8,5.26,Franco-Arcilloso,Baja,9.64,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
2623,Cauca,Cultivo Agrícola,Maíz,17.1,53.5,10.9,5.27,Franco,Alta,34.13,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
2624,Magdalena,Hortaliza,Pimentón,18.4,44.8,13.2,7.01,Arenoso,Media,20.25,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
2625,Tolima,Cultivo Agrícola,Sorgo,32.0,26.2,6.8,6.43,Limoso,Alta,34.15,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
2626,Córdoba,Hortaliza,Pimentón,32.9,67.5,9.1,5.83,Limoso,Media,43.77,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
2627,Santander,Planta Tropical,Cacao,16.8,68.7,4.3,7.12,Franco-Arcilloso,Media,27.47,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
2628,Magdalena,Hortaliza,Cebolla,23.1,35.6,11.1,7.61,Franco,Alta,25.99,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Malo
2629,Bolívar,Cultivo Agrícola,Sorgo,21.9,29.4,6.1,5.48,Arcilloso,Media,2.48,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
2630,Meta,Cultivo Agrícola,Trigo,11.0,50.6,9.0,7.8,Limoso,Baja,19.78,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Baja,3,Regular
2631,Boyacá,Cultivo Agrícola,Maíz,23.1,71.7,12.8,6.52,Arenoso,Alta,29.83,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
2632,Cundinamarca,Hortaliza,Tomate,22.9,42.1,6.4,5.38,Franco,Baja,25.67,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
2633,Córdoba,Planta Tropical,Café,18.3,68.4,5.7,4.68,Franco,Media,41.59,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
2634,Bolívar,Cultivo Agrícola,Sorgo,29.6,45.1,12.4,7.18,Franco-Arcilloso,Alta,77.73,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
2635,Nariño,Hortaliza,Tomate,25.4,64.4,10.1,5.33,Limoso,Media,22.08,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
2636,Cundinamarca,Hortaliza,Pepino,27.3,93.3,9.5,5.13,Franco-Arcilloso,Media,21.92,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Regular
2637,Valle del Cauca,Cultivo Agrícola,Arroz,18.0,70.5,5.7,6.19,Limoso,Baja,31.6,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
2638,Cesar,Planta Tropical,Yuca,36.3,39.2,6.8,6.47,Franco,Media,6.49,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
2639,Cauca,Hortaliza,Tomate,19.3,79.1,7.6,6.0,Arenoso,Media,11.35,Óptima,Óptima,Óptima,Óptima,No óptimo,Óptima,5,Excelente
2640,Magdalena,Hortaliza,Lechuga,21.3,76.9,10.7,6.71,Limoso,Media,11.17,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2641,Sucre,Cultivo Agrícola,Frijol,13.2,55.0,7.0,7.09,Arcilloso,Alta,48.29,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Regular
2642,Cauca,Hortaliza,Zanahoria,11.2,79.4,8.1,6.08,Franco-Arcilloso,Alta,56.85,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
2643,Nariño,Planta Tropical,Plátano,25.8,96.3,11.7,6.29,Franco-Arcilloso,Alta,27.69,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2644,Boyacá,Hortaliza,Tomate,20.1,57.6,10.7,7.88,Arcilloso,Media,44.6,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
2645,Tolima,Planta Tropical,Yuca,30.6,82.9,6.7,6.27,Franco,Alta,27.73,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
2646,Cauca,Cultivo Agrícola,Papa,14.9,83.3,5.2,5.14,Limoso,Media,51.84,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
2647,Magdalena,Hortaliza,Pepino,33.7,91.8,9.4,5.27,Arenoso,Media,6.14,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Malo
2648,Meta,Cultivo Agrícola,Frijol,18.8,60.2,7.4,6.27,Franco-Arcilloso,Media,79.9,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
2649,Boyacá,Hortaliza,Tomate,31.2,78.7,5.7,7.59,Arcilloso,Baja,2.48,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Baja,1,Malo
2650,Magdalena,Planta Tropical,Palma,31.6,66.0,13.4,4.14,Arcilloso,Alta,18.85,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
2651,Valle del Cauca,Cultivo Agrícola,Frijol,25.2,78.0,4.0,5.97,Arenoso,Alta,35.06,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Regular
2652,Tolima,Hortaliza,Lechuga,20.7,45.9,8.8,5.66,Franco,Media,20.17,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Bueno
2653,Antioquia,Planta Tropical,Plátano,26.0,64.6,10.5,7.06,Limoso,Baja,3.62,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
2654,Boyacá,Planta Tropical,Cacao,28.5,94.7,9.9,6.92,Arenoso,Media,34.85,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
2655,Sucre,Planta Tropical,Caña de azúcar,28.3,100.0,12.0,7.91,Arenoso,Baja,33.83,Óptima,Fuera de rango,Óptima,Fuera de rango,No óptimo,Baja,2,Malo
2656,Santander,Cultivo Agrícola,Sorgo,39.8,42.3,13.9,5.69,Franco,Alta,52.26,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2657,Sucre,Hortaliza,Pepino,29.9,59.1,5.2,5.4,Franco,Media,7.47,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
2658,Meta,Cultivo Agrícola,Sorgo,19.7,31.5,10.8,7.27,Arcilloso,Media,41.9,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
2659,Córdoba,Planta Tropical,Plátano,32.8,71.7,6.9,5.99,Arcilloso,Alta,13.48,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
2660,Córdoba,Cultivo Agrícola,Trigo,24.5,76.0,12.2,7.05,Arcilloso,Alta,10.8,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
2661,Antioquia,Hortaliza,Pimentón,29.2,73.5,5.9,7.99,Arcilloso,Baja,2.66,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Baja,1,Malo
2662,Boyacá,Cultivo Agrícola,Sorgo,35.9,82.8,7.9,7.06,Franco,Alta,53.85,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
2663,Boyacá,Hortaliza,Lechuga,7.1,64.9,7.2,6.09,Franco,Media,16.12,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Bueno
2664,Córdoba,Cultivo Agrícola,Maíz,37.2,81.0,5.9,5.71,Arcilloso,Media,21.34,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
2665,Nariño,Cultivo Agrícola,Arroz,22.4,77.9,8.0,5.32,Franco-Arcilloso,Baja,52.14,Óptima,Óptima,Óptima,Óptima,Óptima,Baja,5,Excelente
2666,Boyacá,Planta Tropical,Caña de azúcar,23.0,67.4,5.3,5.71,Franco,Alta,70.04,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
2667,Santander,Planta Tropical,Yuca,36.4,46.5,8.0,6.49,Limoso,Media,45.47,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
2668,Antioquia,Cultivo Agrícola,Trigo,21.0,46.2,6.4,7.76,Arcilloso,Media,20.03,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
2669,Tolima,Hortaliza,Zanahoria,11.8,53.0,4.8,6.28,Arenoso,Baja,5.44,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
2670,Córdoba,Hortaliza,Cebolla,10.3,70.6,5.3,5.71,Franco-Arcilloso,Baja,4.91,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
2671,Bolívar,Cultivo Agrícola,Maíz,37.0,84.5,8.0,7.36,Franco-Arcilloso,Media,23.36,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
2672,Cundinamarca,Planta Tropical,Café,15.9,63.0,7.4,5.03,Arenoso,Media,20.17,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
2673,Santander,Hortaliza,Lechuga,7.7,60.8,3.7,6.26,Franco-Arcilloso,Baja,30.3,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
2674,Cauca,Planta Tropical,Plátano,31.3,75.4,11.2,6.85,Arenoso,Alta,24.06,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
2675,Cundinamarca,Cultivo Agrícola,Arroz,25.6,62.6,10.6,5.32,Limoso,Media,17.18,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2676,Boyacá,Hortaliza,Lechuga,25.0,54.8,5.1,6.62,Franco-Arcilloso,Media,48.31,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
2677,Santander,Cultivo Agrícola,Arroz,22.4,86.7,9.8,5.96,Franco-Arcilloso,Media,66.8,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
2678,Magdalena,Planta Tropical,Yuca,35.9,72.9,13.7,5.01,Arcilloso,Media,23.66,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Bueno
2679,Valle del Cauca,Hortaliza,Zanahoria,15.9,48.3,5.1,5.84,Franco-Arcilloso,Media,22.42,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2680,Huila,Hortaliza,Pimentón,24.5,85.1,13.1,7.86,Limoso,Media,43.42,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
2681,Magdalena,Planta Tropical,Café,22.5,82.0,4.1,6.95,Arenoso,Media,44.63,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
2682,Córdoba,Cultivo Agrícola,Sorgo,24.4,38.1,7.3,5.91,Franco-Arcilloso,Baja,12.31,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
2683,Cauca,Hortaliza,Lechuga,14.2,83.6,4.9,7.14,Arenoso,Alta,13.54,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
2684,Meta,Hortaliza,Zanahoria,14.6,41.8,10.7,7.24,Arenoso,Media,14.19,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
2685,Bolívar,Hortaliza,Pimentón,21.3,78.0,12.5,5.74,Arenoso,Media,24.51,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
2686,Meta,Cultivo Agrícola,Arroz,24.0,74.1,10.2,4.72,Limoso,Media,17.82,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
2687,Sucre,Hortaliza,Tomate,14.0,44.6,11.2,5.64,Arenoso,Baja,12.62,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Baja,2,Malo
2688,Cauca,Planta Tropical,Café,23.0,65.0,5.3,4.53,Limoso,Media,20.4,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Bueno
2689,Sucre,Planta Tropical,Palma,24.8,62.4,5.5,4.85,Limoso,Media,10.79,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2690,Valle del Cauca,Hortaliza,Lechuga,13.5,65.4,8.6,5.9,Franco,Alta,29.54,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
2691,Cesar,Hortaliza,Pimentón,29.6,66.3,7.2,6.02,Arcilloso,Baja,24.88,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Baja,3,Regular
2692,Córdoba,Planta Tropical,Palma,36.1,56.3,6.7,5.92,Franco-Arcilloso,Media,30.38,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
2693,Cauca,Cultivo Agrícola,Maíz,29.3,73.0,9.9,6.47,Franco-Arcilloso,Media,70.75,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
2694,Bolívar,Cultivo Agrícola,Sorgo,27.3,41.6,7.7,5.99,Franco,Media,45.23,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
2695,Huila,Planta Tropical,Cacao,29.4,82.2,4.0,6.94,Franco-Arcilloso,Media,79.76,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
2696,Córdoba,Hortaliza,Lechuga,17.1,82.9,10.8,6.78,Arenoso,Baja,5.4,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
2697,Antioquia,Cultivo Agrícola,Arroz,40.6,91.6,11.5,5.99,Limoso,Alta,42.24,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2698,Córdoba,Cultivo Agrícola,Maíz,16.7,52.3,4.8,6.02,Franco-Arcilloso,Media,32.64,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2699,Sucre,Hortaliza,Tomate,26.4,42.6,5.2,5.35,Franco-Arcilloso,Alta,46.33,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
2700,Bolívar,Planta Tropical,Palma,20.0,58.9,13.8,6.23,Franco-Arcilloso,Media,47.51,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
2701,Huila,Hortaliza,Pimentón,14.4,46.3,9.2,7.33,Franco-Arcilloso,Media,30.52,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
2702,Cauca,Planta Tropical,Cacao,27.1,85.6,7.9,5.71,Limoso,Media,70.99,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
2703,Tolima,Planta Tropical,Cacao,34.1,56.3,3.1,4.75,Limoso,Media,4.35,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
2704,Cesar,Cultivo Agrícola,Sorgo,25.8,70.0,11.1,7.91,Limoso,Alta,18.15,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
2705,Antioquia,Planta Tropical,Yuca,40.9,63.5,5.8,5.0,Franco-Arcilloso,Media,29.54,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
2706,Bolívar,Planta Tropical,Yuca,28.3,64.5,5.3,6.56,Arenoso,Baja,40.06,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Baja,3,Regular
2707,Tolima,Cultivo Agrícola,Trigo,26.5,53.1,13.9,5.88,Franco-Arcilloso,Baja,6.63,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
2708,Bolívar,Cultivo Agrícola,Papa,25.2,70.2,6.5,4.82,Arenoso,Alta,43.53,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
2709,Córdoba,Cultivo Agrícola,Papa,4.4,81.0,9.6,6.15,Arenoso,Media,52.8,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
2710,Boyacá,Planta Tropical,Yuca,20.0,55.5,13.1,5.12,Limoso,Baja,6.24,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Bueno
2711,Nariño,Planta Tropical,Yuca,40.8,66.4,6.3,5.32,Arenoso,Baja,20.09,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
2712,Tolima,Cultivo Agrícola,Maíz,32.4,60.1,7.1,7.41,Arenoso,Baja,24.67,Fuera de rango,Óptima,Óptima,Fuera de rango,No óptimo,Baja,2,Regular
2713,Cauca,Cultivo Agrícola,Maíz,31.0,74.6,5.9,5.28,Franco-Arcilloso,Alta,49.57,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Regular
2714,Bolívar,Planta Tropical,Café,23.8,66.7,3.5,6.54,Arenoso,Media,4.83,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
2715,Nariño,Hortaliza,Tomate,19.5,44.5,13.2,6.16,Arcilloso,Baja,33.02,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,2,Regular
2716,Cesar,Planta Tropical,Cacao,16.7,92.3,5.3,6.47,Franco,Media,21.18,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
